Unnamed: 0,상가업소번호,brand,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,지번본번지,지번부번지,지번주소,도로명코드,도로명,도로명주소,층정보,경도,위도,place_id,월간 검색량,블로그누적발행
9478,MA010120220803665593,투다리,투다리,,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,11,서울특별시,11170,용산구,11170625,한강로동,1117012400,한강로1가,1117012400100500001,50.0,1.0,서울특별시 용산구 한강로1가 50-1,111702005005,서울특별시 용산구 한강대로,서울특별시 용산구 한강대로 205,,126.972618947165,37.5365854582617,11763577,20.0,45.0
9479,MA010120220803650891,투다리,투다리,,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,11,서울특별시,11230,동대문구,11230740,이문1동,1123011000,이문동,1123011000103050006,305.0,6.0,서울특별시 동대문구 이문동 305-6,112304115730,서울특별시 동대문구 휘경로2길,서울특별시 동대문구 휘경로2길 13,2.0,127.060942455673,37.5954079399908,38623490,20.0,97.0
9480,MA010120220804077811,투다리,투다리,,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,11,서울특별시,11215,광진구,11215830,자양2동,1121510500,자양동,1121510500106010003,601.0,3.0,서울특별시 광진구 자양동 601-3,112153104011,서울특별시 광진구 자양번영로,서울특별시 광진구 자양번영로 30,1.0,127.07572348291,37.5322755917414,38008590,70.0,261.03000000000003
9482,MA010120220809830428,투다리,투다리,,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,11,서울특별시,11710,송파구,11710650,잠실본동,1171010100,잠실동,1171010100101940000,194.0,,서울특별시 송파구 잠실동 194,117104169446,서울특별시 송파구 올림픽로8길,서울특별시 송파구 올림픽로8길 20,1.0,127.080089435822,37.5099999257596,1978859905,20.0,72.0
9484,MA010120220800691151,투다리,투다리,,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,11,서울특별시,11620,관악구,11620695,신림동,1162010200,신림동,1162010200114230028,1423.0,28.0,서울특별시 관악구 신림동 1423-28,116204160397,서울특별시 관악구 봉천로12길,서울특별시 관악구 봉천로12길 69,,126.930304828047,37.4857243968046,1854604083,20.0,201.0
9486,MA010120220803809934,투다리,투다리뚝섬점,,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,11,서울특별시,11200,성동구,11200670,성수2가1동,1120011500,성수동2가,1120011500103390090,339.0,90.0,서울특별시 성동구 성수동2가 339-90,112003103003,서울특별시 성동구 성수이로,서울특별시 성동구 성수이로 32-24,1.0,127.054728910895,37.5376121011851,20937688,20.0,81.0
9487,MA0101202209A0101327,투다리,투다리,,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,11,서울특별시,11305,강북구,11305635,수유3동,1130510300,수유동,1130510300101920003,192.0,3.0,서울특별시 강북구 수유동 192-3,113054124572,서울특별시 강북구 한천로139나길,서울특별시 강북구 한천로139나길 1,1.0,127.025277237546,37.6390378038175,20936897,20.0,63.0
9490,MA010120220813091515,투다리,투다리석촌,본점,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,11,서울특별시,11710,송파구,11710600,석촌동,1171010500,석촌동,1171010500101720006,172.0,6.0,서울특별시 송파구 석촌동 172-6,117104169191,서울특별시 송파구 백제고분로39길,서울특별시 송파구 백제고분로39길 5,1.0,127.104988141193,37.5050429145468,37891045,20.0,97.0
9492,MA010120220810085237,투다리,투다리,,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,11,서울특별시,11470,양천구,11470590,신월4동,1147010300,신월동,1147010300105380003,538.0,3.0,서울특별시 양천구 신월동 538-3,114704142242,서울특별시 양천구 신월로15길,서울특별시 양천구 신월로15길 11,1.0,126.841633526753,37.5194355071617,1539960565,20.0,120.0
9493,MA010120220804081953,투다리,투다리,,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,11,서울특별시,11740,강동구,11740525,상일1동,1174010300,상일동,1174010300102840001,284.0,1.0,서울특별시 강동구 상일동 284-1,117404172156,서울특별시 강동구 상일로5길,서울특별시 강동구 상일로5길 15,,127.172144096676,37.548860905192,1105083671,30.0,78.99
