Unnamed: 0,상가업소번호,brand,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,지번본번지,지번부번지,지번주소,도로명코드,도로명,도로명주소,층정보,경도,위도,place_id,월간 검색량,블로그누적발행
9481,MA010120220808007750,역전할머니,역전할머니맥주강서,구청점,I2,음식,I211,주점,I21103,생맥주 전문,I56219,기타 주점업,11,서울특별시,11500,강서구,11500591,화곡6동,1150010300,화곡동,1150010300111200013,1120.0,13.0,서울특별시 강서구 화곡동 1120-13,115004145541,서울특별시 강서구 화곡로58길,서울특별시 강서구 화곡로58길 22-3,1.0,126.85217839994,37.5527140888822,1868359886,20.0,231.0
9483,MA010120220801940737,역전할머니,역전할머니맥주서울,명지대점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11410,서대문구,11410685,홍은2동,1141011800,홍은동,1141011800104090051,409.0,51.0,서울특별시 서대문구 홍은동 409-51,114104136324,서울특별시 서대문구 증가로10길,서울특별시 서대문구 증가로10길 63,1.0,126.925270059374,37.5796867059389,1323812622,20.0,70.0
9491,MA010120220806381564,역전할머니,역전할머니맥주,,I2,음식,I211,주점,I21103,생맥주 전문,I56219,기타 주점업,11,서울특별시,11560,영등포구,11560670,신길5동,1156013200,신길동,1156013200104450002,445.0,2.0,서울특별시 영등포구 신길동 445-2,115603118014,서울특별시 영등포구 신길로,서울특별시 영등포구 신길로 67,1.0,126.908127515183,37.498764824654,1311695977,20.0,207.0
9499,MA010120220808643509,역전할머니,역전할머니맥주,서울상봉점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11260,중랑구,11260590,상봉2동,1126010200,상봉동,1126010200101050011,105.0,11.0,서울특별시 중랑구 상봉동 105-11,112604118287,서울특별시 중랑구 봉우재로33길,서울특별시 중랑구 봉우재로33길 42,1.0,127.088287041705,37.5942373846102,1650551571,20.0,142.0
9500,MA010120220810536466,역전할머니,역전할머니맥주,오류점,I2,음식,I211,주점,I21103,생맥주 전문,I56211,일반 유흥 주점업,11,서울특별시,11530,구로구,11530770,오류1동,1153010800,오류동,1153010800100340004,34.0,4.0,서울특별시 구로구 오류동 34-4,115304148080,서울특별시 구로구 경인로25길,서울특별시 구로구 경인로25길 16,1.0,126.844202347868,37.4971751150817,1404198758,20.0,457.0
9501,MA010120220800531287,역전할머니,역전할머니맥주,서울방배역점,I2,음식,I211,주점,I21103,생맥주 전문,I56111,한식 일반 음식점업,11,서울특별시,11650,서초구,11650600,방배1동,1165010100,방배동,1165010100109090004,909.0,4.0,서울특별시 서초구 방배동 909-4,116503121010,서울특별시 서초구 방배로,서울특별시 서초구 방배로 83-9,1.0,126.996653348122,37.4820507706275,1054587722,20.0,229.0
9513,MA010120220806451265,역전할머니,역전할머니맥주,,I2,음식,I211,주점,I21103,생맥주 전문,I56219,기타 주점업,11,서울특별시,11230,동대문구,11230710,회기동,1123010800,회기동,1123010800100600046,60.0,46.0,서울특별시 동대문구 회기동 60-46,112304115019,서울특별시 동대문구 경희대로1길,서울특별시 동대문구 경희대로1길 7,1.0,127.05169994721,37.5916101652418,1573115649,20.0,109.0
9516,MA010120220805522576,역전할머니,역전할머니맥주,,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11290,성북구,11290760,장위1동,1129013800,장위동,1129013800102180032,218.0,32.0,서울특별시 성북구 장위동 218-32,112903107018,서울특별시 성북구 월계로,서울특별시 성북구 월계로 172,1.0,127.044888913925,37.6192733426894,1407805860,20.0,99.0
9517,MA010120220803876018,역전할머니,역전할머니맥주,화곡역점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11500,강서구,11500560,화곡3동,1150010300,화곡동,1150010300110680023,1068.0,23.0,서울특별시 강서구 화곡동 1068-23,115003005069,서울특별시 강서구 화곡로,서울특별시 강서구 화곡로 119,1.0,126.835105589725,37.5404379073919,1617580186,20.0,231.0
9519,MA010120220813808545,역전할머니,역전할머니맥주신대방,삼거리점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11590,동작구,11590660,대방동,1159010800,대방동,1159010800104070029,407.0,29.0,서울특별시 동작구 대방동 407-29,115904157551,서울특별시 동작구 여의대방로24길,서울특별시 동작구 여의대방로24길 141,,126.927951399829,37.4991750210014,1337289813,20.0,148.0
